displayName,address,lng,lat,type
"聖雅各福群會灣仔長者地區中心","香港灣仔石水渠街85號聖雅各福群會多元化社區服務中心",114.173637,22.2733649,"Food-Co Service Point"
"明愛賽馬會德田青少年綜合服務","香港藍田德田邨德敬樓1樓",114.238242,22.310857,"Food-Co Service Point"
"聖雅各福群會油麻地就業及培訓服務中心","香港油麻地彌敦道486號益南華廈1樓",114.1711483106926,22.311465248154676,"Food-Co Service Point"
"關愛堂","觀塘道342至344號 泉源工業大廈 11字樓1110室",114.22168381074219,22.310167468807652,"Food-Co Service Point"
"仁濟醫院上環復康服務中心-晴晞閣","香港上環高陞街28號",114.146609,22.2871223,"Food-Co Service Point"
"循道衛理社會服務處嘉峰臺中心","香港斧山瓊東街8號嘉峰臺2座",114.2110408053711,22.34093374975477,"Food-Co Service Point"
"J Life","G/F, 380 Tai Nan St, Sham Shui Po, Hong Kong",114.159872,22.329994,"Food-Co Service Point"
"香港生命力","九龍長沙灣欽州街西36號副食品批發市場行政大樓一樓T302室",114.1537111,22.3239317,"Food-Co Service Point"
"禧福協會-蒙福天地","九龍廟街239號八福匯",114.16963581480535,22.305032462365745,"Food-Co Service Point"
"香港小童群益會賽馬會長沙灣青少年綜合服務中心","九龍長沙灣麗閣邨麗荷樓地下101-120室",114.157614,22.3336108,"Food-Co Service Point"
"FOOD-CO Volunteer","香港灣仔堅尼地道100號",114.1734797,22.2725336,"Food-Co Service Point"
"HKSKHBlessedfood_KC_YTM","香港鶴園崇安街18號半島廣場土瓜灣",114.1895999,22.3114561,"Food-Co Service Point"
"基督教筲箕灣潮人生命堂","香港筲箕灣筲箕灣東大街108號",114.2301929,22.277763,"Food-Co Service Point"
"SJS_JCFA","香港灣仔石水渠街85號聖雅各福群會多元化社區服務中心",114.1737442,22.2736077,"Food-Co Service Point"
"明愛葵涌居民互助中心","Room 1C, 132 Tai Lin Pai Rd, Kwai Chung, Hong Kong",114.13236893275528,22.359727614925045,"Food-Co Service Point"
"香港路德會沙崙堂","香港大角咀櫻桃街18號",114.164941,22.318915,"Food-Co Service Point"
"中華基督教會大角咀基全堂","150 Tai Kok Tsui Rd, Tai Kok Tsui, Hong Kong",114.1621246,22.3227024,"Food-Co Service Point"
